fire_na,phs
APPLE,0.83125
AUGUST COMPLEX FIRES,0.37331246331441986
BLUE RIDGE,0.8169014084507042
BLUEJAY,0.15151515151515152
BOBCAT,0.5686274509803921
CALDWELL,0.6020151133501259
CARMEL,0.42424242424242425
CASTLE,0.37834549878345497
CREEK,0.4088427947598253
CZU LIGHTNING COMPLEX,0.3701923076923077
DEVIL,0.21428571428571427
DOLAN,0.5429497568881686
GLASS,0.3291139240506329
GOLD,0.21238938053097345
HENNESSEY,0.39514497639919083
HOG,0.3829787234042553
LAKE,0.8266666666666667
LOYALTON,0.8181818181818182
MINERAL,0.3333333333333333
NORTH,0.75
NORTH COMPLEX,0.5437459494491251
RATTLESNAKE,0.2
RED SALMON COMPLEX,0.22002820874471085
RIVER,0.5454545454545454
SCU COMPLEX,0.43056300268096515
SHEEP,0.38926174496644295
SILVERADO,0.7916666666666666
SLATER,0.6082474226804123
SLINK,0.6307692307692307
SNOW,0.6333333333333333
STAGECOACH,0.7368421052631579
VALLEY,0.8625
W-5 COLD SPRINGS,0.7683284457478006
WALLBRIDGE,0.19172932330827067
ZOGG,0.6514084507042254
